ejercicio,trimestre,mandato_encargo,sexo,mto_pension_min,mto_pension_max,per_monto,edad_promedio,tipo_moneda
2026,Segundo,FPFINA,Mujer,43905.13,78686.0,Mensual,74.5,Moneda Nacional
2026,Segundo,FPFINA,Hombre,143354.68,155051.99,Mensual,74.5,Moneda Nacional
2026,Segundo,FPFINA,Mujer,34722.62,74333.31,Mensual,84.5,Moneda Nacional
2026,Segundo,FPFINA,Hombre,125098.18,155445.67,Mensual,84.5,Moneda Nacional
2026,Segundo,FPFINA,Mujer,123400.55,123400.55,Mensual,93.0,Moneda Nacional
2026,Segundo,FPFINA,Hombre,114279.68,114279.68,Mensual,93.0,Moneda Nacional
2026,Segundo,FPBNCI,Mujer,14945.6,14945.6,Mensual,67.0,Moneda Nacional
2026,Segundo,FPBNCI,Hombre,14373.7,14373.7,Mensual,67.0,Moneda Nacional
2026,Segundo,FPBNCI,Mujer,14373.7,14373.7,Mensual,72.5,Moneda Nacional
2026,Segundo,FPBNCI,Hombre,27501.46,27501.46,Mensual,87.5,Moneda Nacional
2026,Segundo,FPBNCI,Hombre,18308.68,18308.68,Mensual,97.5,Moneda Nacional
2026,Segundo,FPIL,Mujer,22903.08,219486.88,Mensual,85.0,Moneda Nacional
2026,Segundo,FPBANPESCA,Mujer,16811.54,23984.03,Mensual,85.0,Moneda Nacional
2026,Segundo,FPBANPESCA,Hombre,14373.7,14373.7,Mensual,88.0,Moneda Nacional
2026,Segundo,FPBANPESCA,Mujer,19762.37,19762.37,Mensual,93.0,Moneda Nacional
2026,Segundo,FPBANPESCA,Mujer,14373.7,17749.0,Mensual,95.5,Moneda Nacional
2026,Segundo,FPMANTE,Hombre,1267.48,5129.27,Mensual,70.0,Moneda Nacional
2026,Segundo,FPMANTE,Mujer,1456.1,1456.1,Mensual,75.5,Moneda Nacional
2026,Segundo,FPMANTE,Hombre,12240.16,12240.16,Mensual,85.5,Moneda Nacional
2026,Segundo,FPMANTE,Mujer,2450.68,2450.68,Mensual,95.5,Moneda Nacional
2026,Segundo,FPALSUR,Mujer,14373.7,14373.7,Mensual,87.5,Moneda Nacional
2026,Segundo,FPALSUR,Hombre,14885.77,14885.77,Mensual,85.0,Moneda Nacional
2026,Segundo,FPALSUR,Hombre,17420.74,17420.74,Mensual,93.0,Moneda Nacional
2026,Segundo,FOPPAZ,Mujer,11863.12,11863.12,Mensual,75.0,Moneda Nacional
2026,Segundo,FOPPAZ,Hombre,36099.61,36099.61,Mensual,85.0,Moneda Nacional
2026,Segundo,FOPPAZ,Mujer,27907.31,27907.31,Mensual,85.0,Moneda Nacional
2026,Segundo,FOPPAZ,Hombre,46288.82,46288.82,Mensual,95.5,Moneda Nacional
2026,Segundo,FOPPAZ,Mujer,27319.02,27319.02,Mensual,95.5,Moneda Nacional
2026,Segundo,FPFIDELIQ,Mujer,28282.25,28282.25,Mensual,67.5,Moneda Nacional
2026,Segundo,FPFIDELIQ,Hombre,41730.63,41730.63,Mensual,67.5,Moneda Nacional
2026,Segundo,FPFIDELIQ,Mujer,37378.63,37378.63,Mensual,73.0,Moneda Nacional
2026,Segundo,FPFIDELIQ,Hombre,64324.75,78035.45,Mensual,75.5,Moneda Nacional
2026,Segundo,FPFIDELIQ,Mujer,30810.04,30810.04,Mensual,85.5,Moneda Nacional
2026,Segundo,FPFIDELIQ,Hombre,29981.68,29981.68,Mensual,85.5,Moneda Nacional
2026,Segundo,FPSERANOR,Mujer,17689.72,17689.72,Mensual,75.0,Moneda Nacional
2026,Segundo,FPSERANOR,Hombre,48028.22,48028.22,Mensual,75.0,Moneda Nacional
2026,Segundo,FPSERANOR,Mujer,15069.83,15069.83,Mensual,85.5,Moneda Nacional
2026,Segundo,FPSERANOR,Hombre,16422.62,16422.62,Mensual,85.5,Moneda Nacional
2026,Segundo,FPSERANOR,Mujer,14373.7,14373.7,Mensual,95.5,Moneda Nacional
2026,Segundo,FPSERANOR,Hombre,15047.46,15047.46,Mensual,95.5,Moneda Nacional
